Date,TAIEX,00631L,0056,00878
2007-08-28,8727.509765625,,,
2007-08-29,8643.2802734375,,,
2007-08-30,8771.169921875,,,
2007-08-31,8982.119140625,,,
2007-09-03,8979.9189453125,,,
2007-09-04,8922.939453125,,,
2007-09-05,8913.80859375,,,
2007-09-06,9017.0390625,,,
2007-09-07,9018.0390625,,,
2007-09-10,8937.5390625,,,
2007-09-11,9003.0791015625,,,
2007-09-12,9018.0791015625,,,
2007-09-13,8927.37890625,,,
2007-09-14,9031.5888671875,,,
2007-09-17,8899.869140625,,,
2007-09-19,8926.3388671875,,,
2007-09-20,8982.9892578125,,,
2007-09-21,9105.23828125,,,
2007-09-26,9257.427734375,,,
2007-09-27,9413.6083984375,,,
2007-09-28,9411.908203125,,,
2007-10-01,9488.45703125,,,
2007-10-02,9623.2060546875,,,
2007-10-03,9700.025390625,,,
2007-10-04,9627.345703125,,,
2007-10-05,9617.2158203125,,,
2007-10-08,9717.125,,,
2007-10-09,9639.7861328125,,,
2007-10-11,9697.625,,,
2007-10-12,9496.4267578125,,,
2007-10-15,9518.4072265625,,,
2007-10-16,9592.42578125,,,
2007-10-17,9562.1162109375,,,
2007-10-18,9637.0263671875,,,
2007-10-19,9611.67578125,,,
2007-10-22,9360.587890625,,,
2007-10-23,9502.3466796875,,,
2007-10-24,9442.578125,,,
2007-10-25,9568.2158203125,,,
2007-10-26,9631.4658203125,,,
2007-10-29,9809.8349609375,,,
2007-10-30,9757.884765625,,,
2007-10-31,9711.3251953125,,,
2007-11-01,9598.1865234375,,,
2007-11-02,9273.0478515625,,,
2007-11-05,9308.5576171875,,,
2007-11-06,9292.7578125,,,
2007-11-07,9300.177734375,,,
2007-11-08,8937.5390625,,,
2007-11-09,8970.87890625,,,
2007-11-12,8670.5703125,,,
2007-11-13,8727.169921875,,,
2007-11-14,8942.888671875,,,
2007-11-15,8905.369140625,,,
2007-11-16,8764.7802734375,,,
2007-11-19,8680.669921875,,,
2007-11-20,8680.8203125,,,
2007-11-21,8484.0703125,,,
2007-11-22,8499.330078125,,,
2007-11-23,8342.16015625,,,
2007-11-26,8528.2900390625,,,
2007-11-27,8375.7197265625,,,
2007-11-28,8276.2197265625,,,
2007-11-29,8446.990234375,,,
2007-11-30,8586.3603515625,,,
2007-12-03,8583.7998046875,,,
2007-12-04,8651.240234375,,,
2007-12-05,8676.91015625,,,
2007-12-06,8694.3701171875,,,
2007-12-07,8722.33984375,,,
2007-12-10,8597.990234375,,,
2007-12-11,8638.2900390625,,,
2007-12-12,8490.7998046875,,,
2007-12-13,8187.91259765625,,,
2007-12-14,8118.04248046875,,,
2007-12-17,7830.81396484375,,,
2007-12-18,7807.3544921875,,,
2007-12-19,8014.2724609375,,,
2007-12-20,7857.04345703125,,,
2007-12-21,7941.40283203125,,,
2007-12-24,8135.4423828125,,,
2007-12-25,8167.0322265625,,,
2007-12-26,8156.3525390625,,,
2007-12-27,8313.6796875,,,
2007-12-28,8396.91015625,,,
2007-12-31,8506.240234375,,,
2008-01-02,8323.009765625,,25.700000762939453,
2008-01-03,8184.16259765625,,25.229999542236328,
2008-01-04,8221.0595703125,,25.510000228881836,
2008-01-07,7883.3330078125,,24.850000381469727,
2008-01-08,7962.873046875,,25.3799991607666,
2008-01-09,8085.0224609375,,25.829999923706055,
2008-01-10,8057.232421875,,25.729999542236328,
2008-01-11,8029.2724609375,,25.610000610351562,
2008-01-14,8173.37255859375,,25.860000610351562,
2008-01-15,8428.7998046875,,26.200000762939453,
2008-01-16,8179.50244140625,,25.350000381469727,
2008-01-17,8101.59228515625,,24.93000030517578,
2008-01-18,8184.6123046875,,24.950000762939453,
2008-01-21,8110.16259765625,,24.700000762939453,
2008-01-22,7581.9248046875,,23.18000030517578,
2008-01-23,7408.36572265625,,22.850000381469727,
2008-01-24,7517.01513671875,,23.100000381469727,
2008-01-25,7739.55419921875,,23.479999542236328,
2008-01-28,7485.755859375,,22.6299991607666,
2008-01-29,7576.384765625,,22.850000381469727,
2008-01-30,7543.46533203125,,22.760000228881836,
2008-01-31,7521.09521484375,,22.790000915527344,
2008-02-01,7673.955078125,,23.200000762939453,
2008-02-12,7553.2646484375,,22.770000457763672,
2008-02-13,7550.5146484375,,22.600000381469727,
2008-02-14,7865.2431640625,,23.440000534057617,
2008-02-15,7876.33349609375,,23.389999389648438,
2008-02-18,7890.86279296875,,23.5,
2008-02-19,8024.37255859375,,23.90999984741211,
2008-02-20,7894.43310546875,,23.420000076293945,
2008-02-21,8085.892578125,,23.950000762939453,
2008-02-22,8108.67236328125,,23.81999969482422,
2008-02-25,8286.26953125,,24.34000015258789,
2008-02-26,8307.6298828125,,24.440000534057617,
2008-02-27,8462.0400390625,,24.860000610351562,
2008-02-29,8412.7197265625,,24.81999969482422,
2008-03-03,8262.830078125,,24.540000915527344,
2008-03-04,8470.0703125,,25.139999389648438,
2008-03-05,8483.91015625,,25.219999313354492,
2008-03-06,8658.599609375,,25.780000686645508,
2008-03-07,8531.33984375,,25.399999618530273,
2008-03-10,8299.330078125,,24.889999389648438,
2008-03-11,8381.5595703125,,25.040000915527344,
2008-03-12,8435.259765625,,25.139999389648438,
2008-03-13,8210.9501953125,,24.479999542236328,
2008-03-14,8161.3525390625,,24.299999237060547,
2008-03-17,8005.42236328125,,23.829999923706055,
2008-03-18,8057.7822265625,,24.049999237060547,
2008-03-19,8179.3125,,24.309999465942383,
2008-03-20,8337.580078125,,24.65999984741211,
2008-03-21,8524.9501953125,,25.09000015258789,
2008-03-24,8865.3095703125,,25.8700008392334,
2008-03-25,8795.0498046875,,25.81999969482422,
2008-03-26,8767.9794921875,,25.790000915527344,
2008-03-27,8605.91015625,,25.559999465942383,
2008-03-28,8623.4404296875,,25.719999313354492,
2008-03-31,8572.5498046875,,25.639999389648438,
2008-04-01,8419.6796875,,25.260000228881836,
2008-04-02,8605.2802734375,,25.709999084472656,
2008-04-03,8596.2998046875,,25.579999923706055,
2008-04-07,8729.75,,25.899999618530273,
2008-04-08,8672.8095703125,,25.670000076293945,
2008-04-09,8667.8896484375,,25.6299991607666,
2008-04-10,8829.3603515625,,26.040000915527344,
2008-04-11,8909.5390625,,26.18000030517578,
2008-04-14,8892.638671875,,26.299999237060547,
2008-04-15,8924.7392578125,,26.360000610351562,
2008-04-16,9065.998046875,,26.68000030517578,
2008-04-17,9090.3876953125,,26.760000228881836,
2008-04-18,9074.2978515625,,26.780000686645508,
2008-04-21,9083.2783203125,,26.760000228881836,
2008-04-22,9037.208984375,,26.690000534057617,
2008-04-23,9008.44921875,,26.68000030517578,
2008-04-24,8990.2890625,,26.68000030517578,
2008-04-25,8947.7890625,,26.6200008392334,
2008-04-28,9079.5576171875,,26.84000015258789,
2008-04-29,8891.69921875,,26.309999465942383,
2008-04-30,8919.87890625,,26.420000076293945,
2008-05-02,8963.5888671875,,26.489999771118164,
2008-05-05,8837.0302734375,,26.200000762939453,
2008-05-06,8857.330078125,,26.270000457763672,
2008-05-07,8926.298828125,,26.399999618530273,
2008-05-08,8866.580078125,,26.18000030517578,
2008-05-09,8792.349609375,,26.030000686645508,
2008-05-12,8830.009765625,,26.110000610351562,
2008-05-13,8989.4892578125,,26.579999923706055,
2008-05-14,9018.37890625,,26.670000076293945,
2008-05-15,9157.1376953125,,27.1299991607666,
2008-05-16,9197.3681640625,,27.229999542236328,
2008-05-19,9295.158203125,,27.579999923706055,
2008-05-20,9068.84765625,,26.989999771118164,
2008-05-21,9015.529296875,,26.799999237060547,
2008-05-22,9007.9892578125,,26.530000686645508,
2008-05-23,8834.6904296875,,26.229999542236328,
2008-05-26,8707.7900390625,,25.940000534057617,
2008-05-27,8778.349609375,,26.079999923706055,
2008-05-28,8665.6904296875,,25.729999542236328,
2008-05-29,8684.8798828125,,25.68000030517578,
2008-05-30,8619.0400390625,,25.40999984741211,
2008-06-02,8724.4296875,,25.639999389648438,
2008-06-03,8579.3896484375,,25.239999771118164,
2008-06-04,8627.759765625,,25.489999771118164,
2008-06-05,8738.419921875,,25.790000915527344,
2008-06-06,8745.3095703125,,25.790000915527344,
2008-06-09,8587.919921875,,25.469999313354492,
2008-06-10,8369.9599609375,,24.860000610351562,
2008-06-11,8345.5498046875,,24.760000228881836,
2008-06-12,8062.2724609375,,23.760000228881836,
2008-06-13,8105.55224609375,,23.889999389648438,
2008-06-16,8169.732421875,,24.1299991607666,
2008-06-17,8201.75,,24.040000915527344,
2008-06-18,8217.5400390625,,24.200000762939453,
2008-06-19,8047.70263671875,,23.729999542236328,
2008-06-20,7902.40283203125,,23.290000915527344,
2008-06-23,7876.45361328125,,23.09000015258789,
2008-06-24,7738.08447265625,,22.639999389648438,
2008-06-25,7855.0234375,,23.110000610351562,
2008-06-26,7811.76416015625,,23.1299991607666,
2008-06-27,7548.724609375,,22.489999771118164,
2008-06-30,7523.50537109375,,22.540000915527344,
2008-07-01,7407.94580078125,,22.290000915527344,
2008-07-02,7353.826171875,,22.399999618530273,
2008-07-03,7394.06591796875,,22.469999313354492,
2008-07-04,7228.376953125,,21.90999984741211,
2008-07-07,7341.076171875,,22.280000686645508,
2008-07-08,7051.818359375,,21.40999984741211,
2008-07-09,7048.21826171875,,21.459999084472656,
2008-07-10,7075.61767578125,,21.65999984741211,
2008-07-11,7244.7265625,,22.18000030517578,
2008-07-14,7156.92724609375,,21.950000762939453,
2008-07-15,6834.20849609375,,21.059999465942383,
2008-07-16,6710.60888671875,,20.760000228881836,
2008-07-17,6974.47802734375,,21.280000686645508,
2008-07-18,6815.28857421875,,20.770000457763672,
2008-07-21,7085.6376953125,,21.329999923706055,
2008-07-22,7065.6181640625,,21.270000457763672,
2008-07-23,7309.79638671875,,22.110000610351562,
2008-07-24,7368.04638671875,,22.399999618530273,
2008-07-25,7233.5869140625,,22.1200008392334,
2008-07-29,7014.4384765625,,21.59000015258789,
2008-07-30,7070.318359375,,21.75,
2008-07-31,7024.0283203125,,21.639999389648438,
2008-08-01,7002.50830078125,,21.479999542236328,
2008-08-04,6977.328125,,21.229999542236328,
2008-08-05,6813.36865234375,,20.65999984741211,
2008-08-06,7026.20849609375,,21.229999542236328,
2008-08-07,7024.54833984375,,21.139999389648438,
2008-08-08,7209.0068359375,,21.600000381469727,
2008-08-11,7325.58642578125,,21.989999771118164,
2008-08-12,7293.76611328125,,21.8799991607666,
2008-08-13,7292.30615234375,,22.149999618530273,
2008-08-14,7326.0361328125,,22.399999618530273,
2008-08-15,7196.466796875,,22.030000686645508,
2008-08-18,7000.70849609375,,21.549999237060547,
2008-08-19,6978.568359375,,21.649999618530273,
2008-08-20,7040.8681640625,,21.700000762939453,
2008-08-21,6918.4482421875,,21.190000534057617,
2008-08-22,6911.6083984375,,21.15999984741211,
2008-08-25,7030.6884765625,,21.559999465942383,
2008-08-26,6964.568359375,,21.43000030517578,
2008-08-27,7080.93798828125,,21.829999923706055,
2008-08-28,7033.33837890625,,21.8799991607666,
2008-08-29,7046.078125,,22.1200008392334,
2008-09-01,6813.05859375,,21.450000762939453,
2008-09-02,6699.78857421875,,21.229999542236328,
2008-09-03,6584.89990234375,,20.719999313354492,
2008-09-04,6412.60009765625,,20.020000457763672,
2008-09-05,6307.25048828125,,19.540000915527344,
2008-09-08,6658.6591796875,,20.600000381469727,
2008-09-09,6424.740234375,,19.809999465942383,
2008-09-10,6457.97998046875,,19.889999389648438,
2008-09-11,6251.9208984375,,19.1299991607666,
2008-09-12,6310.65087890625,,19.399999618530273,
2008-09-15,6052.42236328125,,18.469999313354492,
2008-09-16,5756.56396484375,,17.40999984741211,
2008-09-17,5800.84423828125,,17.510000228881836,
2008-09-18,5641.9248046875,,16.920000076293945,
2008-09-19,5970.3525390625,,17.959999084472656,
2008-09-22,6110.572265625,,18.510000228881836,
2008-09-23,6182.18115234375,,18.790000915527344,
2008-09-24,6132.572265625,,18.760000228881836,
2008-09-25,6060.80224609375,,18.469999313354492,
2008-09-26,5929.6025390625,,17.90999984741211,
2008-09-30,5719.25439453125,,17.34000015258789,
2008-10-01,5763.98388671875,,17.6200008392334,
2008-10-02,5703.69482421875,,17.510000228881836,
2008-10-03,5742.2041015625,,17.670000076293945,
2008-10-06,5505.67529296875,,17.030000686645508,
2008-10-07,5524.63525390625,,17.1200008392334,
2008-10-08,5206.3759765625,,16.15999984741211,
2008-10-09,5130.68603515625,,15.770000457763672,
2008-10-13,5020.41650390625,,15.350000381469727,
2008-10-14,5291.5361328125,,16.1200008392334,
2008-10-15,5246.23583984375,,16.030000686645508,
2008-10-16,5075.94677734375,,15.479999542236328,
2008-10-17,4960.376953125,,15.199999809265137,
2008-10-20,4931.8173828125,,15.109999656677246,
2008-10-21,4942.69775390625,,15.020000457763672,
2008-10-22,4862.5673828125,,14.75,
2008-10-23,4730.48828125,,14.34000015258789,
2008-10-24,4579.59912109375,,13.899999618530273,
2008-10-27,4366.85009765625,,13.25,
2008-10-28,4399.9501953125,,13.40999984741211,
2008-10-29,4406.5,,13.4399995803833,
2008-10-30,4683.619140625,,14.25,
2008-10-31,4870.6376953125,,14.779999732971191,
2008-11-03,4995.037109375,,15.279999732971191,
2008-11-04,4992.60693359375,,15.329999923706055,
